code,name,symbol
1,nasdaqexchange,nqex
2,nasdaqalternativedisplayfacility,nqad
3,newyorkstockexchange,nyse
4,americanstockexchange,amex
5,chicagoboardoptionsexchange,cboe
6,internationalsecuritiesexchange,isex
7,nysearca(pacific),pacf
8,nationalstockexchange(cincinnati),cinc
9,philadelphiastockexchange,phil
10,optionspricingreportingauthority,opra
11,bostonstock/optionsexchange,bost
12,nasdaqglobal+selectmarket(nms),nqnm
13,nasdaqcapitalmarket(smallcap),nqsc
14,nasdaqbulletinboard,nqbb
15,nasdaqotc,nqpk
16,nasdaqindexes(gids),nqix
17,chicagostockexchange,chic
18,torontostockexchange,tse
19,canadianventureexchange,cdnx
20,chicagomercantileexchange,cme
21,newyorkboardoftrade,nybt
22,isemercury,mrcy
23,comex(divisionofnymex),comx
24,chicagoboardoftrade,cbot
25,newyorkmercantileexchange,nymx
26,kansascityboardoftrade,kcbt
27,minneapolisgrainexchange,mgex
28,nyse/arcabonds,nybo
29,nasdaqbasic,nqbs
30,dowjonesindices,dowj
31,isegemini,gemi
32,singaporeinternationalmonetaryexchange,simx
33,londonstockexchange,ftse
34,eurex,eurx
35,impliedprice,impl
36,datatransmissionnetwork,dtn
37,londonmetalsexchangematchedtrades,lmt
38,londonmetalsexchange,lme
39,intercontinentalexchange(ipe),ipex
40,nasdaqmutualfunds(mfds),nqmf
41,comexclearport,fcec
42,cboec2optionexchange,c2
43,miamiexchange,miax
44,nymexclearport,clrp
45,barclays,bark
46,miamiemeraldoptionsexchange,emld
47,nasdaqboston,nqbx
48,hotspoteurexus,hots
49,eurexus,euus
50,eurexeu,eueu
51,euronextcommodities,encm
52,euronextindexderivatives,enid
53,euronextinterestrates,enir
54,cboefuturesexchange,cfe
55,philadelphiaboardoftrade,pbot
56,fcme,cmefloor
57,finra/nasdaqtradereportingfacility,nqnx
58,bsetradereportingfacility,btrf
59,nysetradereportingfacility,ntrf
60,batstrading,bats
61,cbotfloor,fcbt
62,pinksheets,pink
63,batsyexchange,baty
64,directedgea,edge
65,directedgex,edgx
66,russellindexes,rusl
67,cmeindexes,cmex
68,investorsexchange,iex
69,miamipearloptionsexchange,perl
70,londonstockexchange,lse
71,nyseglobalindexfeed,gif
72,tsxindexes,tsix
73,membersexchange,memx
74,empty,empt
75,long-termstockexchange,ltse
76,empty,empt
77,empty,empt
